date,close,high,low,open,volume,year,quarter,month,day,dayofweek,is_weekend,month_end,holiday,unix,daily_variation,logs,market_cap,close_change,year_change,ema_14,cma_7,std_7,daily_return,high_close,low_open,cum_change,atr,dmi,adx,cycle,macd,b_ma,bl,bu,sma_7,sma_7_up,sma_7_low,rsi,k,d,wr,cci,ppo
2020-01-02,209.77999877929688,209.7899932861328,206.2700042724609,206.75,12077100.0,2020,1,1,2,3,False,0,0,1577923200,0.017025339848473535,16.306821655425267,2533534023.2574463,,1.4655374990553205,209.77999877929688,,,,4.8341024599455865e-05,-0.002321623833320875,0.04519772179631883,3.5199890136719034,,,-4.441154476196573,0.0,,,,209.77999877929688,,,,,,,,0.0
2020-01-03,208.6699981689453,210.3999938964844,206.9499969482422,207.2100067138672,11188400.0,2020,1,1,3,4,False,0,0,1578009600,0.016649760322657865,16.23038808525694,2334683407.5134277,-1.1100006103515625,0.7045950522525694,209.63199869791669,,0.7848889587007966,-0.005291260448139101,0.008348997015033222,-0.0012548127850989508,0.09015629067495079,3.5149895804269256,100.0,100.0,-5.618461979752766,-0.08854705723604184,,,,209.2249984741211,210.79477639152267,207.6552205567195,,,,,,-0.04222603534903594
2020-01-04,209.98000081380206,211.1933288574219,206.8066660563151,207.04000345865884,13145233.333333334,2020,1,1,4,5,True,0,0,1578096000,0.02118751317535949,16.391569766717623,2760236106.0309515,1.3100026448567519,1.420014154767086,209.67839898003476,,0.7057158420496076,0.0062778677162596,0.005860355599646775,-0.0011270160280418568,0.13539710350171516,3.5772519533326315,100.0,100.0,-4.375766228060627,-0.05241081351800858,,,,209.4766659206814,210.88809760478063,208.06523423658217,,,,,,-0.024991008437713867
2020-01-05,211.29000345865884,211.98666381835938,206.663335164388,206.87000020345053,15102066.666666666,2020,1,1,5,6,True,0,0,1578182400,0.02573272416849247,16.53034215776211,3190915718.2328963,1.3100026448567803,2.1366091027511827,209.89327957718464,,1.0742771941198535,0.006238701970567195,0.0033676239136432805,-0.0009990092273373591,0.1809201602766119,3.70197171766397,100.0,100.0,-3.133070476237691,0.08099996805611909,,,,209.93000030517578,212.0785546934155,207.78144591693606,,,,,,0.03860172928390729
2020-01-06,212.6000061035156,212.77999877929688,206.5200042724609,206.6999969482422,17058900.0,2020,1,1,6,0,False,0,0,1578268800,0.030285411704207583,16.652182619637152,3626722244.119262,1.3100026448567519,2.8543827974756937,210.2541764473621,,1.513717215991208,0.006200021881835438,0.0008707918647253231,-0.0008707918647253231,0.22672546099964103,3.8846876311762553,100.0,100.0,-1.890374724153844,0.2891026436021491,,,,210.46400146484376,213.49143589682618,207.43656703286135,,,,,,0.13764178288057693
2020-01-07,213.05999755859372,214.5800018310547,211.75,212.82000732421875,14912400.0,2020,1,1,7,1,False,0,0,1578355200,0.013297630550041972,16.517703639582088,3177235907.592773,0.459991455078125,0.11276676351643979,210.62828592885967,,1.7193810323635104,0.0021636474217887613,0.007142205714453007,-0.0050277572004245675,0.27262986824348384,3.809352931167572,100.0,100.0,-1.4976901614291762,0.48554590839680145,,,,210.89666748046875,214.33542954519578,207.45790541574172,,,,,,0.23092247706065655
2020-01-08,215.22000122070312,216.2400054931641,212.6100006103516,213.0,13475000.0,2020,1,1,8,2,False,0,0,1578441600,0.01704227644512911,16.416346674759335,2900089516.4489746,2.1600036621094034,1.0422540942268192,211.2405146344388,211.5142865862165,2.2657742158481406,0.010138006603118255,0.004788752452868385,-0.001830983049992531,0.31899965467107694,3.796542356285067,100.0,100.0,0.5950066089218353,0.8062291469267393,,,,211.5142865862165,216.0458350179128,206.98273815452023,,,,,,0.3827689878230338
2020-01-09,218.3000030517578,218.3800048828125,216.27999877929688,217.5399932861328,12642800.0,2020,1,1,9,3,False,0,0,1578528000,0.009653425431311213,16.352598441138618,2759923278.5827637,3.0800018310546875,0.34936553694995776,212.181779756748,212.36250114440918,3.2524483852797177,0.01431094607185801,0.00036775688849755635,-0.005792013173314079,0.36603303661159886,3.751075306701089,100.0,100.0,3.6077015490023427,1.2939870537004197,,,,212.73143005371094,219.23632682427038,206.2265332831515,,,,,,0.6126866511206743
2020-01-10,218.05999755859372,219.8800048828125,217.4199981689453,219.1999969482422,12119400.0,2020,1,1,10,4,False,0,0,1578614400,0.011222658522427114,16.31031803242954,2642756334.4116206,-0.24000549316409092,-0.5200727214962709,212.96554213032744,212.9955563015408,3.2345250306839524,-0.0010994296372373036,0.008302953237031847,-0.008120432500357976,0.41301470865807594,3.6588561214986677,100.0,100.0,3.300389165831888,1.6422415332997389,,,,214.07285853794642,220.54190859931433,207.6038084765785,,,,,,0.7757140833220677
2020-01-11,219.34333292643225,220.57667032877603,218.01666768391928,219.33333333333331,12900733.333333334,2020,1,1,11,5,True,0,0,1578700800,0.011671744581413764,16.37279471526136,2829689846.5284557,1.2833353678385322,0.004559084999516437,213.81591423647475,213.63033396402994,3.1956939576071774,0.005885239760647476,0.0056231188556707225,-0.006003034875747876,0.46027287910890263,3.5803665874528168,100.0,100.0,4.516417644782933,1.9987498126618277,,,,215.4104774111793,221.80186532639365,209.01908949596495,,,,,,0.9415952498020939
