date,high_close,atr,daily_return,close_change,year_change,close,k,wr,market_cap,open,sma_7_low,low,high,sma_7_up,sma_7,ema_14,unix,cum_change,residual
2020-01-02,4.8341024599455865e-05,3.5199890136719034,-0.0052912604481391,-1.1100006103515625,1.4655374990553205,209.77999877929688,92.3649227825743,-7.635077217425707,2533534023.2574463,206.75,207.6552205567195,206.2700042724609,209.7899932861328,210.79477639152267,209.77999877929688,209.77999877929688,1577923200,0.0451977217963188,2.8957742870261427e-09
2020-01-03,0.0083489970150332,3.5149895804269256,-0.0052912604481391,-1.1100006103515625,0.7045950522525694,208.6699981689453,92.3649227825743,-7.635077217425707,2334683407.513428,207.2100067138672,207.6552205567195,206.9499969482422,210.3999938964844,210.79477639152267,209.2249984741211,209.63199869791669,1578009600,0.0901562906749507,-0.134909358448823
2020-01-04,0.0058603555996467,3.5772519533326315,0.0062778677162596,1.310002644856752,1.420014154767086,209.9800008138021,92.3649227825743,-7.635077217425707,2760236106.0309515,207.04000345865884,208.06523423658217,206.8066660563151,211.1933288574219,210.88809760478065,209.4766659206814,209.6783989800348,1578096000,0.1353971035017151,0.6540895046908872
2020-01-05,0.0033676239136432,3.70197171766397,0.0062387019705671,1.3100026448567803,2.1366091027511827,211.29000345865884,92.3649227825743,-7.635077217425707,3190915718.2328963,206.87000020345053,207.7814459169361,206.663335164388,211.98666381835932,212.0785546934155,209.93000030517572,209.89327957718464,1578182400,0.1809201602766119,1.156299826650212
2020-01-06,0.0008707918647253,3.8846876311762553,0.0062000218818354,1.310002644856752,2.8543827974756937,212.6000061035156,92.3649227825743,-7.635077217425707,3626722244.119262,206.6999969482422,207.4365670328613,206.5200042724609,212.77999877929688,213.49143589682612,210.46400146484376,210.2541764473621,1578268800,0.226725460999641,1.6078616008826998
2020-01-07,0.007142205714453,3.809352931167572,0.0021636474217887,0.459991455078125,0.1127667635164397,213.0599975585937,92.3649227825743,-7.635077217425707,3177235907.592773,212.82000732421875,207.4579054157417,211.75,214.5800018310547,214.33542954519572,210.89666748046875,210.62828592885967,1578355200,0.2726298682434838,0.09295460498810826
2020-01-08,0.0047887524528683,3.796542356285067,0.0101380066031182,2.1600036621094034,1.0422540942268192,215.22000122070312,92.3649227825743,-7.635077217425707,2900089516.4489746,213.0,206.98273815452023,212.6100006103516,216.2400054931641,216.0458350179128,211.5142865862165,211.2405146344388,1578441600,0.3189996546710769,0.7460908103929285
2020-01-09,0.0003677568884975,3.751075306701089,0.014310946071858,3.0800018310546875,0.3493655369499577,218.3000030517578,92.3649227825743,-7.635077217425707,2759923278.582764,217.5399932861328,206.2265332831515,216.27999877929688,218.3800048828125,219.2363268242704,212.7314300537109,212.181779756748,1578528000,0.3660330366115988,1.8959788723644522
2020-01-10,0.0083029532370318,3.658856121498668,-0.0010994296372373,-0.2400054931640909,-0.5200727214962709,218.0599975585937,92.3649227825743,-7.635077217425707,2642756334.4116206,219.1999969482422,207.6038084765785,217.4199981689453,219.8800048828125,220.54190859931435,214.0728585379464,212.96554213032744,1578614400,0.4130147086580759,0.06073430502962651
2020-01-11,0.0056231188556707,3.5803665874528168,0.0058852397606474,1.2833353678385322,0.0045590849995164,219.34333292643225,92.3649227825743,-7.635077217425707,2829689846.528456,219.3333333333333,209.0190894959649,218.01666768391928,220.57667032877603,221.80186532639365,215.4104774111793,213.81591423647475,1578700800,0.4602728791089026,0.7275193059321339
2020-01-12,0.0029465407266554,3.514626015195214,0.0058508063624116,1.2833353678385606,0.5285534142084636,220.6266682942708,92.3649227825743,-7.635077217425707,3018628784.0467663,219.46666971842447,210.4699064424762,218.6133371988932,221.2733357747396,223.0186669043429,216.7442866734096,214.72401477751424,1578787200,0.507807547964079,0.9669857789254479
2020-01-13,0.0002732129186075,3.460723764598123,0.0058167735467355,1.2833353678385322,1.0519114273179289,221.9100036621093,92.3649227825743,-7.635077217425707,3209573146.9665523,219.6000061035156,211.95442532496452,219.2100067138672,221.97000122070312,224.19414732431,218.07428632463728,215.6821466287936,1578873600,0.555618715223605,0.9628220048982996
2020-01-14,0.0149813064170159,3.481386352841114,-0.0128430717700098,-2.850006103515625,-1.1506714700305616,219.0599975585937,92.3649227825743,-7.635077217425707,2911066401.556396,221.6100006103516,214.6994299971872,218.6300048828125,222.3800048828125,223.163428366373,218.9314291817801,216.1325267527669,1578960000,0.6028158402306089,-0.6371412378760226
2020-01-15,0.0024024240869884,3.419858407437286,0.0095407484761413,2.089996337890682,0.2447728047862009,221.1499938964844,92.3649227825743,-7.635077217425707,2219571913.742066,220.6100006103516,216.8359516608865,220.13999938964844,221.67999267578125,222.7211903243255,219.778570992606,216.80152237192928,1579046400,0.6504632611361015,0.5454405258098802
2020-01-16,0.0038639555288274,3.3355831992749136,0.0028035740135119,0.6200103759765057,-0.359438839660221,221.7700042724609,94.66169722055136,-5.338302779448634,2221093123.7899776,222.57000732421875,217.3249322617107,220.38999938964844,222.6300048828125,223.22363864370217,220.27428545270644,217.46398662533352,1579132800,0.6982442651126558,0.9903733136862058
2020-01-17,0.0006755568946044,3.223041149814987,0.0016683731345965,0.3699951171875284,0.0495431297375746,222.13999938964844,96.95837694227518,-3.041623057724816,3533336616.291809,222.02999877929688,218.37416283211968,220.52999877929688,222.2899932861328,223.34012288216604,220.8571428571429,218.0874549939089,1579219200,0.7461049856325885,0.667345864683341
