date,high,low,open,unix,cum_change,sma_7_up,sma_7,sma_7_low,ema_14,b_ma,bu,bl,cma_7,month,atr,year,ppo,close
2020-01-02,209.7899932861328,206.2700042724609,206.75,1577923200,0.0451977217963188,210.79477639152267,209.77999877929688,207.6552205567195,209.77999877929688,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.5199890136719034,2020,0.0,209.77999877929688
2020-01-03,210.3999938964844,206.9499969482422,207.2100067138672,1578009600,0.0901562906749507,210.79477639152267,209.2249984741211,207.6552205567195,209.63199869791669,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.5149895804269256,2020,-0.0422260353490359,208.6699981689453
2020-01-04,211.1933288574219,206.8066660563151,207.04000345865884,1578096000,0.1353971035017151,210.88809760478065,209.4766659206814,208.06523423658217,209.6783989800348,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.5772519533326315,2020,-0.0249910084377138,209.9800008138021
2020-01-05,211.98666381835932,206.663335164388,206.87000020345053,1578182400,0.1809201602766119,212.0785546934155,209.93000030517572,207.7814459169361,209.89327957718464,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.70197171766397,2020,0.0386017292839072,211.29000345865884
2020-01-06,212.77999877929688,206.5200042724609,206.6999969482422,1578268800,0.226725460999641,213.49143589682612,210.46400146484376,207.4365670328613,210.2541764473621,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.8846876311762553,2020,0.1376417828805769,212.6000061035156
2020-01-07,214.5800018310547,211.75,212.82000732421875,1578355200,0.2726298682434838,214.33542954519572,210.89666748046875,207.4579054157417,210.62828592885967,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.809352931167572,2020,0.2309224770606565,213.0599975585937
2020-01-08,216.2400054931641,212.6100006103516,213.0,1578441600,0.3189996546710769,216.0458350179128,211.5142865862165,206.98273815452023,211.2405146344388,217.04258321126304,227.1201319456923,206.96503447683372,211.5142865862165,1,3.796542356285067,2020,0.3827689878230338,215.22000122070312
2020-01-09,218.3800048828125,216.27999877929688,217.5399932861328,1578528000,0.3660330366115988,219.2363268242704,212.7314300537109,206.2265332831515,212.181779756748,217.04258321126304,227.1201319456923,206.96503447683372,212.3625011444092,1,3.751075306701089,2020,0.6126866511206743,218.3000030517578
2020-01-10,219.8800048828125,217.4199981689453,219.1999969482422,1578614400,0.4130147086580759,220.54190859931435,214.0728585379464,207.6038084765785,212.96554213032744,217.04258321126304,227.1201319456923,206.96503447683372,212.9955563015408,1,3.658856121498668,2020,0.7757140833220677,218.0599975585937
2020-01-11,220.57667032877603,218.01666768391928,219.3333333333333,1578700800,0.4602728791089026,221.80186532639365,215.4104774111793,209.0190894959649,213.81591423647475,217.04258321126304,227.1201319456923,206.96503447683372,213.63033396403,1,3.5803665874528168,2020,0.941595249802094,219.34333292643225
2020-01-12,221.2733357747396,218.6133371988932,219.46666971842447,1578787200,0.507807547964079,223.0186669043429,216.7442866734096,210.4699064424762,214.72401477751424,217.04258321126304,227.1201319456923,206.96503447683372,214.26636435768825,1,3.514626015195214,2020,1.1074475342359646,220.6266682942708
2020-01-13,221.97000122070312,219.2100067138672,219.6000061035156,1578873600,0.555618715223605,224.19414732431,218.07428632463728,211.95442532496452,215.6821466287936,217.04258321126304,227.1201319456923,206.96503447683372,214.9033342997233,1,3.460723764598123,2020,1.2710118481372583,221.9100036621093
2020-01-14,222.3800048828125,218.6300048828125,221.6100006103516,1578960000,0.6028158402306089,223.163428366373,218.9314291817801,214.6994299971872,216.1325267527669,217.04258321126304,227.1201319456923,206.96503447683372,215.2230776273288,1,3.481386352841114,2020,1.2784931610403003,219.0599975585937
2020-01-15,221.67999267578125,220.13999938964844,220.6100006103516,1579046400,0.6504632611361015,222.7211903243255,219.778570992606,216.8359516608865,216.80152237192928,217.04258321126304,227.1201319456923,206.96503447683372,215.6464287894113,1,3.419858407437286,2020,1.3462534838059543,221.1499938964844
2020-01-16,222.6300048828125,220.38999938964844,222.57000732421875,1579132800,0.6982442651126558,223.22363864370217,220.27428545270644,217.3249322617107,217.46398662533352,217.04258321126304,227.1201319456923,206.96503447683372,216.0546671549479,1,3.3355831992749136,2020,1.4060125959489935,221.7700042724609
2020-01-17,222.2899932861328,220.52999877929688,222.02999877929688,1579219200,0.7461049856325885,223.34012288216604,220.8571428571429,218.37416283211968,218.0874549939089,217.04258321126304,227.1201319456923,206.96503447683372,216.4350004196167,1,3.223041149814987,2020,1.4496302907287018,222.13999938964844
2020-01-18,222.30999374389648,220.1774978637696,222.0625,1579305600,0.7939280020488066,223.42280571698683,221.23166674659365,219.0405277762005,218.60446101506608,217.04258321126304,227.1201319456923,206.96503447683372,216.76029452155612,1,3.1451450591229846,2020,1.4602839862060608,221.9650001525879
2020-01-19,222.32999420166016,219.8249969482422,222.09500122070312,1579392000,0.8417133143613101,223.55099656758733,221.39785712105888,219.2447176745304,219.0291996684609,217.04258321126304,227.1201319456923,206.96503447683372,217.03972265455457,1,3.099420215858341,2020,1.4451701794753142,221.7900009155273
2020-01-20,222.34999465942383,219.47249603271484,222.12750244140625,1579478400,0.889460922570099,223.4733289256354,221.3557139805385,219.2380990354416,219.37397326979504,217.04258321126304,227.1201319456923,206.96503447683372,217.2805268137079,1,3.083568673776244,2020,1.4101768856561157,221.6150016784668
2020-01-21,222.3699951171875,219.1199951171875,222.1600036621093,1579564800,0.9371708266751732,222.35603122736305,221.6957146780832,221.03539812880325,219.64944382600987,217.04258321126304,227.1201319456923,206.96503447683372,217.4885005950928,1,3.095456625649369,2020,1.360109965516577,221.44000244140625
