,Date,MSFT,AMZN,TSLA,GOOGL,GOOG,UNH,JNJ,XOM,JPM,META,V,PG,NVDA,HD,CVX,LLY,MA,ABBV,PFE,MRK,PEP,BAC,KO,COST,AVGO,TMO,WMT,CSCO,MCD,ACN,ABT,DIS,DHR,WFC,BMY,LIN,NEE,TXN,ADBE,VZ,CMCSA,PM,COP,AMGN,RTX,HON,CRM
0,2018-12-04,103.96402740478516,83.41999816894531,23.979999542236328,53.12350082397461,52.54100036621094,262.3858947753906,131.41580200195312,63.60429000854492,94.88667297363281,137.92999267578125,135.05581665039062,84.30409240722656,38.98970413208008,159.29931640625,97.78858947753906,108.55608367919922,196.19381713867188,74.58781433105469,36.97868347167969,65.8044204711914,104.36715698242188,24.50425910949707,43.752525329589844,213.51885986328125,200.6337890625,241.6013946533203,89.3630599975586,41.93451690673828,168.5604705810547,155.53170776367188,67.06250762939453,110.64897155761719,104.56401062011719,46.13063049316406,45.87177276611328,149.82640075683594,41.835330963134766,86.28900909423828,245.82000732421875,48.42946243286133,34.56605911254883,68.02149963378906,58.32089614868164,175.61016845703125,68.98845672607422,131.62843322753906,139.24000549316406
1,2018-12-06,104.60589599609375,84.95950317382812,24.20400047302246,53.90399932861328,53.436500549316406,260.7845458984375,131.30776977539062,62.771484375,93.08151245117188,139.6300048828125,137.4034881591797,84.52092742919922,39.28253936767578,159.8990936279297,96.67925262451172,107.92256164550781,198.64022827148438,74.4066162109375,36.84760665893555,65.93902587890625,104.33856201171875,23.992990493774414,43.576026916503906,219.9805145263672,196.48345947265625,239.76876831054688,88.87541198730469,42.85557174682617,168.93394470214844,150.8338165283203,67.10005187988281,112.08024597167969,103.14752960205078,45.51592254638672,46.94736862182617,145.30825805664062,41.94785690307617,87.37535858154297,250.6300048828125,48.4211311340332,34.74031448364258,67.91004943847656,58.05073165893555,176.72019958496094,69.3194808959961,130.59523010253906,142.05999755859375
2,2018-12-07,100.41935729980469,81.45649719238281,23.864667892456055,52.32899856567383,51.82899856567383,253.55963134765625,130.87579345703125,62.170921325683594,91.40021514892578,137.4199981689453,133.56536865234375,83.52708435058594,36.632110595703125,157.0183868408203,96.32892608642578,105.8170166015625,192.2893524169922,71.63066864013672,35.979270935058594,64.55076599121094,103.42770385742188,23.21696662902832,43.320106506347656,212.11334228515625,197.62478637695312,233.64674377441406,87.3936767578125,41.12860107421875,166.6656951904297,149.1289825439453,65.60872650146484,110.62799835205078,100.20635986328125,44.7764778137207,46.797481536865234,142.2713165283203,41.99378204345703,82.94015502929688,238.0,48.087642669677734,34.30927276611328,67.32878875732422,57.44068145751953,169.998046875,68.17796325683594,127.96595001220703,135.9499969482422
3,2018-12-10,103.07305145263672,82.05149841308594,24.343332290649414,52.659000396728516,51.977500915527344,251.06344604492188,130.72283935546875,61.29010772705078,89.69237518310547,141.85000610351562,134.31544494628906,84.0511245727539,37.68682098388672,156.01881408691406,95.87018585205078,106.29217529296875,193.8158721923828,72.16608428955078,36.372474670410156,65.13973236083984,103.75811004638672,22.60527229309082,43.45248794555664,210.0380096435547,206.86793518066406,234.8553466796875,88.09703826904297,41.50055694580078,168.20518493652344,149.3846893310547,66.51852416992188,110.50943756103516,100.0588150024414,43.47575759887695,46.35667419433594,146.17466735839844,41.93638229370117,84.21504974365234,244.08999633789062,48.57953643798828,34.25423812866211,67.05807495117188,56.82190704345703,172.3512420654297,68.15513610839844,127.26480102539062,137.27000427246094
4,2018-12-11,104.03108978271484,82.16200256347656,24.450666427612305,53.08250045776367,52.587501525878906,251.71334838867188,131.83872985839844,61.402225494384766,88.81633758544922,142.0800018310547,133.27313232421875,84.84617614746094,36.77604675292969,156.4913787841797,96.31224822998047,106.67413330078125,193.5027313232422,72.62737274169922,36.0529899597168,64.87889862060547,104.74042510986328,22.440933227539062,43.71721649169922,213.66033935546875,213.43063354492188,235.27139282226562,88.01263427734375,41.70425796508789,167.2395782470703,149.93402099609375,67.38143920898438,110.61811828613281,99.66537475585938,42.549224853515625,46.224430084228516,146.68699645996094,42.02134704589844,84.87944030761719,245.33999633789062,49.06307601928711,33.786521911621094,67.14566802978516,57.031070709228516,174.20718383789062,67.88116455078125,126.21310424804688,136.7899932861328
5,2018-12-12,104.50050354003906,83.177001953125,24.440000534057617,53.686500549316406,53.183998107910156,254.93492126464844,132.37869262695312,60.873714447021484,89.39151000976562,144.5,134.237548828125,84.95459747314453,36.952247619628906,158.30877685546875,96.4373550415039,106.52508544921875,195.9980926513672,72.9815673828125,36.175865173339844,65.6361312866211,104.4814453125,22.386154174804688,43.43483352661133,214.88668823242188,220.4689178466797,239.0059814453125,87.31866455078125,41.99651336669922,167.13937377929688,150.2371063232422,68.02859497070312,110.85521697998047,100.36376190185547,42.53141784667969,47.1148796081543,149.56561279296875,41.63783264160156,86.01964569091797,245.5500030517578,47.72916030883789,33.91490936279297,66.73957824707031,56.88290786743164,174.411376953125,68.29780578613281,127.57848358154297,140.08999633789062
6,2018-12-13,104.85498046875,82.91899871826172,25.119333267211914,53.676998138427734,53.095001220703125,256.3572692871094,133.0446319580078,61.642433166503906,89.4800033569336,145.00999450683594,133.98422241210938,87.17717742919922,36.949764251708984,157.99981689453125,96.70426940917969,107.00952911376953,194.69662475585938,72.24845886230469,36.511741638183594,66.47753143310547,105.6869888305664,22.27659797668457,43.65544891357422,213.66976928710938,223.33953857421875,239.25364685058594,87.17798614501953,42.04079055786133,169.82664489746094,151.78094482421875,67.70032501220703,112.02096557617188,100.8260726928711,41.89887237548828,47.29121780395508,147.27392578125,41.84223556518555,86.04658508300781,248.0800018310547,47.59576416015625,33.71314239501953,67.15362548828125,57.63240051269531,175.40599060058594,68.06381225585938,128.06747436523438,141.13999938964844
7,2018-12-14,101.57854461669922,79.59549713134766,24.380666732788086,52.58549880981445,52.10499954223633,249.64102172851562,119.68978881835938,60.5213737487793,88.74554443359375,144.05999755859375,131.59759521484375,87.31269073486328,36.34422302246094,156.5640411376953,94.94435119628906,104.27980041503906,191.14437866210938,70.51866149902344,35.880958557128906,64.79988861083984,101.75778198242188,22.349634170532227,43.54072952270508,195.32235717773438,220.33920288085938,232.1558380126953,86.13701629638672,40.57950210571289,166.96630859375,147.3104248046875,66.36846160888672,110.8453369140625,98.76036834716797,41.46233367919922,45.95111083984375,146.19325256347656,41.62176513671875,84.6280517578125,230.0,47.587432861328125,33.32796096801758,65.68856048583984,56.25545120239258,170.55751037597656,67.80694580078125,125.87178802490234,137.0399932861328
8,2018-12-17,98.57038879394531,76.04550170898438,23.22800064086914,51.282501220703125,50.826499938964844,243.0943603515625,116.21607208251953,59.2881965637207,87.61288452148438,140.19000244140625,128.00294494628906,83.81620025634766,35.63198471069336,152.63836669921875,93.79328918457031,100.95380401611328,186.36895751953125,69.9585189819336,35.315711975097656,63.740806579589844,100.7933349609375,22.34050750732422,42.649436950683594,190.76614379882812,219.73394775390625,226.8820343017578,85.12421417236328,39.14478302001953,164.68894958496094,143.65438842773438,65.42113494873047,109.28441619873047,98.73086547851562,41.524696350097656,44.89314270019531,147.34051513671875,40.3380126953125,82.52716827392578,221.3800048828125,46.64535140991211,33.20873260498047,64.81272888183594,55.009193420410156,168.79034423828125,65.81500244140625,123.97135925292969,130.8300018310547
9,2018-12-18,99.60504913330078,77.5739974975586,22.468666076660156,52.170501708984375,51.43550109863281,238.29029846191406,117.36797332763672,57.6546516418457,87.19699096679688,143.66000366210938,129.2303924560547,83.563232421875,36.46583938598633,154.51942443847656,91.53292083740234,99.2209243774414,187.5041046142578,68.84649658203125,34.73406982421875,62.97825622558594,99.87355041503906,22.34050750732422,42.64060974121094,191.4830780029297,218.15243530273438,228.2996063232422,85.41493225097656,39.02079391479492,163.70513916015625,144.09954833984375,65.73064422607422,108.12853240966797,99.07514190673828,41.44451141357422,45.4573974609375,147.60269165039062,40.41838455200195,84.87944030761719,226.17999267578125,46.39524459838867,32.695152282714844,59.852237701416016,53.954673767089844,166.14418029785156,66.08324432373047,124.70935821533203,132.32000732421875
